Zone,matched_demographic_region,PULocationID,TimeFrame,Data,match_score,PULocationID,Borough,Zone,fhv_trips,fhvhv_trips,green_trips,yellow_trips
marine park/floyd bennett field,battery park/tribeca,154,2021.0,59230.56761,86.0,154,Brooklyn,marine park/floyd bennett field,264,18494,101,172
marine park/mill basin,bedford park,155,2021.0,130407.0,86.0,155,Brooklyn,marine park/mill basin,8911,560679,2565,3483
meatpacking/west village west,greenwich village,158,2021.0,87436.43239,86.0,158,Manhattan,meatpacking/west village west,3949,1059056,25,195536
midtown center,midtown business district,161,2021.0,50674.34935,86.0,161,Manhattan,midtown center,15000,1575793,312,1091329
midtown east,midtown business district,162,2021.0,50674.34935,86.0,162,Manhattan,midtown east,15281,1245179,317,954917
midtown north,midtown business district,163,2021.0,50674.34935,86.0,163,Manhattan,midtown north,9767,1226366,201,798825
midtown south,midtown business district,164,2021.0,50674.34935,86.0,164,Manhattan,midtown south,6285,1569005,271,627803
midwood,flatbush/midwood,165,2021.0,173007.0,90.0,165,Brooklyn,midwood,28642,558907,2866,3609
morrisania/melrose,morrisania,167,2021.0,85878.57072,90.0,167,Bronx,morrisania/melrose,11089,748920,3696,3795
mott haven/port morris,mott haven,168,2021.0,101562.4784,90.0,168,Bronx,mott haven/port morris,13201,1124032,5751,9780
murray hill,murray hill/stuyvesant,170,2021.0,144396.0,90.0,170,Manhattan,murray hill,14589,1591210,896,967766
murray hill-queens,queens,171,2021.0,2331143.0,90.0,171,Queens,murray hill-queens,34733,316424,755,1666
new dorp/midland beach,east new york,172,2021.0,178925.0,86.0,172,Staten Island,new dorp/midland beach,4478,98146,10,59
north corona,crown heights north,173,2021.0,138614.0,86.0,173,Queens,north corona,35340,411593,2095,1464
ocean hill,murray hill/stuyvesant,177,2021.0,144396.0,86.0,177,Brooklyn,ocean hill,6941,900495,3395,4399
ocean parkway south,south beach,178,2021.0,138438.0,86.0,178,Brooklyn,ocean parkway south,4367,190682,438,614
old astoria,astoria,179,2021.0,156981.0,90.0,179,Queens,old astoria,41423,596535,4063,9180
ozone park,battery park/tribeca,180,2021.0,59230.56761,86.0,180,Queens,ozone park,1266,290981,354,782
park slope,park slope,181,2021.0,117511.0,100.0,181,Brooklyn,park slope,21132,1581931,9909,15275
pelham bay park,park slope,184,2021.0,117511.0,86.0,184,Bronx,pelham bay park,388,37520,184,174
pelham parkway,pelham parkway,185,2021.0,137755.0,100.0,185,Bronx,pelham parkway,14902,600179,3484,2722
penn station/madison sq west,upper west side,186,2021.0,197826.0,86.0,186,Manhattan,penn station/madison sq west,5651,1142652,310,1019650
prospect park,battery park/tribeca,190,2021.0,59230.56761,86.0,190,Brooklyn,prospect park,576,115525,594,1058
queens village,queens village,191,2021.0,206394.0,100.0,191,Queens,queens village,3725,496430,2234,2790
queensboro hill,queens,192,2021.0,2331143.0,90.0,192,Queens,queensboro hill,13658,209837,1268,1049
