Location,matched_trip_zone,PULocationID,match_score,Location,TimeFrame,DataFormat,Data,Fips,PULocationID,Borough,Zone,fhv_trips,fhvhv_trips,green_trips,yellow_trips
east flatbush,east flatbush/farragut,71,90.0,east flatbush,2012,Number,140973.0,317,71,Brooklyn,east flatbush/farragut,86477,922965,18237,7665
canarsie,canarsie,39,100.0,canarsie,2012,Number,204158.0,318,39,Brooklyn,canarsie,146173,1610372,26058,11762
astoria,astoria,7,100.0,astoria,2012,Number,165035.0,401,7,Queens,astoria,268194,2284990,250356,119932
sunnyside/woodside,sunnyside,226,90.0,sunnyside/woodside,2012,Number,140399.0,402,226,Queens,sunnyside,134177,1345587,44931,124512
jackson heights,jackson heights,129,100.0,jackson heights,2012,Number,179741.0,403,129,Queens,jackson heights,239990,1727841,157669,43858
elmhurst/corona,corona,56,90.0,elmhurst/corona,2012,Number,140591.0,404,56,Queens,corona,134033,620094,16006,8559
elmhurst/corona,corona,57,90.0,elmhurst/corona,2012,Number,140591.0,404,57,Queens,corona,5922,49978,909,293
ridgewood/glendale,glendale,102,90.0,ridgewood/glendale,2012,Number,164301.0,405,102,Queens,glendale,67370,513503,4750,2440
rego park/forest hills,forest hills,95,90.0,rego park/forest hills,2012,Number,115976.0,406,95,Queens,forest hills,129031,1329599,182178,16698
flushing,flushing,92,100.0,flushing,2012,Number,250135.0,407,92,Queens,flushing,201025,1103231,50896,6883
fresh meadows/briarwood,fresh meadows,98,90.0,fresh meadows/briarwood,2012,Number,157855.0,408,98,Queens,fresh meadows,20766,210524,2526,1922
woodhaven,woodhaven,258,100.0,woodhaven,2012,Number,148177.0,409,258,Queens,woodhaven,54602,628227,5858,3628
howard beach,howard beach,124,100.0,howard beach,2012,Number,133178.0,410,124,Queens,howard beach,22375,267762,3661,3569
bayside,bayside,16,100.0,bayside,2012,Number,123146.0,411,16,Queens,bayside,56883,461406,4854,2769
jamaica/st. albans,jamaica,130,90.0,jamaica/st. albans,2012,Number,228128.0,412,130,Queens,jamaica,108415,1343886,110395,17661
queens village,queens village,191,100.0,queens village,2012,Number,197751.0,413,191,Queens,queens village,42584,489462,9336,5123
the rockaways,,264,,the rockaways,2012,Number,128358.0,414,264,Unknown,,16865242,2382,11929,787156
st. george,saint george/new brighton,206,86.0,st. george,2012,Number,175699.0,501,206,Staten Island,saint george/new brighton,87545,364752,487,330
south beach,south beach/dongan hills,214,90.0,south beach,2012,Number,131923.0,502,214,Staten Island,south beach/dongan hills,18593,137147,118,240
tottenville,charleston/tottenville,44,90.0,tottenville,2012,Number,163106.0,503,44,Staten Island,charleston/tottenville,15693,66190,25,397
bronx,bronx park,31,90.0,bronx,2012,Number,1408473.0,36005,31,Bronx,bronx park,12047,93036,2351,619
brooklyn,brooklyn heights,33,90.0,brooklyn,2012,Number,2565635.0,36047,33,Brooklyn,brooklyn heights,108465,1165374,146314,84487
manhattan,manhattan beach,150,90.0,manhattan,2012,Number,1619090.0,36061,150,Brooklyn,manhattan beach,28614,288166,5582,1707
queens,long island city/queens plaza,146,90.0,queens,2012,Number,2272771.0,36081,146,Queens,long island city/queens plaza,61943,602956,28213,75691
staten island,governor's island/ellis island/liberty island,105,86.0,staten island,2012,Number,470728.0,36085,105,Manhattan,governor's island/ellis island/liberty island,23,65,1,118
new york city,east new york/pennsylvania avenue,77,86.0,new york city,2012,Number,8336697.0,3651000,77,Brooklyn,east new york/pennsylvania avenue,54543,594451,10362,4263
kingsbridge - riverdale,riverdale/north riverdale/fieldston,200,86.0,kingsbridge - riverdale,2012,Number,93260.03546,uhf101,200,Bronx,riverdale/north riverdale/fieldston,36980,391415,6126,2838
northeast bronx,bronx park,31,86.0,northeast bronx,2012,Number,199562.5978,uhf102,31,Bronx,bronx park,12047,93036,2351,619
fordham - bronx park,bronx park,31,90.0,fordham - bronx park,2012,Number,256005.9343,uhf103,31,Bronx,bronx park,12047,93036,2351,619
pelham - throgs neck,pelham bay,183,86.0,pelham - throgs neck,2012,Number,299802.706,uhf104,183,Bronx,pelham bay,20930,245435,4360,1409
crotona - tremont,,264,,crotona - tremont,2012,Number,211176.7814,uhf105,264,Unknown,,16865242,2382,11929,787156
high bridge - morrisania,highbridge,119,81.0,high bridge - morrisania,2012,Number,213259.929,uhf106,119,Bronx,highbridge,83119,808319,12303,5157
hunts point - mott haven,hunts point,126,90.0,hunts point - mott haven,2012,Number,137558.176,uhf107,126,Bronx,hunts point,54238,608626,7476,2454
greenpoint,greenpoint,112,100.0,greenpoint,2012,Number,133583.7389,uhf201,112,Brooklyn,greenpoint,168721,2001180,32694,24855
downtown  - heights - slope,arden heights,5,86.0,downtown  - heights - slope,2012,Number,245392.6701,uhf202,5,Staten Island,arden heights,8616,52190,72,393
bedford stuyvesant - crown heights,bedford,17,90.0,bedford stuyvesant - crown heights,2012,Number,333458.3663,uhf203,17,Brooklyn,bedford,187134,2071716,41662,16853
east new york,east new york,76,100.0,east new york,2012,Number,191760.2965,uhf204,76,Brooklyn,east new york,178985,2093773,41656,19623
sunset park,sunset park east,227,95.0,sunset park,2012,Number,123258.8071,uhf205,227,Brooklyn,sunset park east,58310,497088,6776,3211
borough park,borough park,26,100.0,borough park,2012,Number,328041.0753,uhf206,26,Brooklyn,borough park,102890,1065609,15046,7173
east flatbush - flatbush,east flatbush/farragut,71,95.0,east flatbush - flatbush,2012,Number,302547.3075,uhf207,71,Brooklyn,east flatbush/farragut,86477,922965,18237,7665
canarsie - flatlands,canarsie,39,90.0,canarsie - flatlands,2012,Number,209910.3708,uhf208,39,Brooklyn,canarsie,146173,1610372,26058,11762
bensonhurst - bay ridge,bay ridge,14,90.0,bensonhurst - bay ridge,2012,Number,197271.2576,uhf209,14,Brooklyn,bay ridge,106173,1176998,20438,9025
coney island - sheepshead bay,coney island,55,90.0,coney island - sheepshead bay,2012,Number,282751.6375,uhf210,55,Brooklyn,coney island,47213,440761,26044,4074
williamsburg - bushwick,bushwick north,36,86.0,williamsburg - bushwick,2012,Number,220899.4723,uhf211,36,Brooklyn,bushwick north,200579,1950479,15110,7955
washington heights - inwood,inwood,127,90.0,washington heights - inwood,2012,Number,270384.9826,uhf301,127,Manhattan,inwood,72483,838342,18404,8761
central harlem - morningside heights,central harlem,41,90.0,central harlem - morningside heights,2012,Number,183345.0189,uhf302,41,Manhattan,central harlem,148752,1585162,341774,322815
east harlem,east harlem north,74,90.0,east harlem,2012,Number,114195.1819,uhf303,74,Manhattan,east harlem north,165358,1694788,468595,328911
upper west side,upper west side north,238,95.0,upper west side,2012,Number,214136.7676,uhf304,238,Manhattan,upper west side north,169896,1552500,868,1665383
upper east side,upper east side north,236,95.0,upper east side,2012,Number,217217.054,uhf305,236,Manhattan,upper east side north,203313,1955678,13392,3293443
chelsea - clinton,,264,,chelsea - clinton,2012,Number,149929.963,uhf306,264,Unknown,,16865242,2382,11929,787156
gramercy park -  murray hill,gramercy,107,90.0,gramercy park -  murray hill,2012,Number,129281.6971,uhf307,107,Manhattan,gramercy,226112,2191532,521,1899635
greenwich village - soho,soho,211,90.0,greenwich village - soho,2012,Number,83762.43504,uhf308,211,Manhattan,soho,136489,1427999,44,662188
union square - lower east side,lower east side,148,90.0,union square - lower east side,2012,Number,186825.5172,uhf309,148,Manhattan,lower east side,248540,2718879,191,1034964
lower manhattan,,264,,lower manhattan,2012,Number,59598.7402,uhf310,264,Unknown,,16865242,2382,11929,787156
long island city - astoria,astoria,7,90.0,long island city - astoria,2012,Number,208641.9595,uhf401,7,Queens,astoria,268194,2284990,250356,119932
west queens,lincoln square west,143,86.0,west queens,2012,Number,454424.1739,uhf402,143,Manhattan,lincoln square west,137050,1323677,302,984405
flushing - clearview,flushing,92,90.0,flushing - clearview,2012,Number,246138.0205,uhf403,92,Queens,flushing,201025,1103231,50896,6883
bayside - little neck,bayside,16,90.0,bayside - little neck,2012,Number,87090.29663,uhf404,16,Queens,bayside,56883,461406,4854,2769
ridgewood - forest hills,forest hills,95,90.0,ridgewood - forest hills,2012,Number,257404.5205,uhf405,95,Queens,forest hills,129031,1329599,182178,16698
fresh meadows,fresh meadows,98,100.0,fresh meadows,2012,Number,99649.53538,uhf406,98,Queens,fresh meadows,20766,210524,2526,1922
southwest queens,long island city/queens plaza,146,86.0,southwest queens,2012,Number,283624.7064,uhf407,146,Queens,long island city/queens plaza,61943,602956,28213,75691
jamaica,jamaica,130,100.0,jamaica,2012,Number,315349.7249,uhf408,130,Queens,jamaica,108415,1343886,110395,17661
southeast queens,long island city/queens plaza,146,86.0,southeast queens,2012,Number,211940.893,uhf409,146,Queens,long island city/queens plaza,61943,602956,28213,75691
rockaway,far rockaway,86,90.0,rockaway,2012,Number,124931.652,uhf410,86,Queens,far rockaway,45956,270070,5110,2548
port  richmond,port richmond,187,96.0,port  richmond,2012,Number,66960.82779,uhf501,187,Staten Island,port richmond,24727,108618,92,79
stapleton - st. george,stapleton,221,90.0,stapleton - st. george,2012,Number,121216.1388,uhf502,221,Staten Island,stapleton,45144,236865,247,163
willowbrook,,264,,willowbrook,2012,Number,87837.30559,uhf503,264,Unknown,,16865242,2382,11929,787156
south beach - tottenville,bath beach,11,86.0,south beach - tottenville,2012,Number,194643.7278,uhf504,11,Brooklyn,bath beach,24014,231060,4337,1718
zip code 10001,,264,,zip code 10001,2012,Number,20579.0,10001,264,Unknown,,16865242,2382,11929,787156
zip code 10002,,264,,zip code 10002,2012,Number,80323.0,10002,264,Unknown,,16865242,2382,11929,787156
zip code 10003,,264,,zip code 10003,2012,Number,56614.0,10003,264,Unknown,,16865242,2382,11929,787156
zip code 10004,,264,,zip code 10004,2012,Number,2780.0,10004,264,Unknown,,16865242,2382,11929,787156
zip code 10005,,264,,zip code 10005,2012,Number,5724.0,10005,264,Unknown,,16865242,2382,11929,787156
zip code 10006,,264,,zip code 10006,2012,Number,2696.0,10006,264,Unknown,,16865242,2382,11929,787156
zip code 10007,,264,,zip code 10007,2012,Number,6188.0,10007,264,Unknown,,16865242,2382,11929,787156
zip code 10009,,264,,zip code 10009,2012,Number,62397.0,10009,264,Unknown,,16865242,2382,11929,787156
zip code 10010,,264,,zip code 10010,2012,Number,29396.0,10010,264,Unknown,,16865242,2382,11929,787156
zip code 10011,,264,,zip code 10011,2012,Number,51853.0,10011,264,Unknown,,16865242,2382,11929,787156
zip code 10012,,264,,zip code 10012,2012,Number,24703.0,10012,264,Unknown,,16865242,2382,11929,787156
zip code 10013,,264,,zip code 10013,2012,Number,26090.0,10013,264,Unknown,,16865242,2382,11929,787156
zip code 10014,,264,,zip code 10014,2012,Number,30893.0,10014,264,Unknown,,16865242,2382,11929,787156
zip code 10016,,264,,zip code 10016,2012,Number,52624.0,10016,264,Unknown,,16865242,2382,11929,787156
zip code 10017,,264,,zip code 10017,2012,Number,16137.0,10017,264,Unknown,,16865242,2382,11929,787156
zip code 10018,,264,,zip code 10018,2012,Number,6147.0,10018,264,Unknown,,16865242,2382,11929,787156
zip code 10019,,264,,zip code 10019,2012,Number,40351.0,10019,264,Unknown,,16865242,2382,11929,787156
zip code 10021,,264,,zip code 10021,2012,Number,42646.0,10021,264,Unknown,,16865242,2382,11929,787156
zip code 10022,,264,,zip code 10022,2012,Number,29317.0,10022,264,Unknown,,16865242,2382,11929,787156
zip code 10023,,264,,zip code 10023,2012,Number,60447.0,10023,264,Unknown,,16865242,2382,11929,787156
zip code 10024,,264,,zip code 10024,2012,Number,58991.0,10024,264,Unknown,,16865242,2382,11929,787156
zip code 10025,,264,,zip code 10025,2012,Number,96449.0,10025,264,Unknown,,16865242,2382,11929,787156
zip code 10026,,264,,zip code 10026,2012,Number,36797.0,10026,264,Unknown,,16865242,2382,11929,787156
zip code 10027,,264,,zip code 10027,2012,Number,61018.0,10027,264,Unknown,,16865242,2382,11929,787156
zip code 10028,,264,,zip code 10028,2012,Number,45799.0,10028,264,Unknown,,16865242,2382,11929,787156
zip code 10029,,264,,zip code 10029,2012,Number,79031.0,10029,264,Unknown,,16865242,2382,11929,787156
zip code 10030,,264,,zip code 10030,2012,Number,29364.0,10030,264,Unknown,,16865242,2382,11929,787156
zip code 10031,,264,,zip code 10031,2012,Number,59708.0,10031,264,Unknown,,16865242,2382,11929,787156
zip code 10032,,264,,zip code 10032,2012,Number,61650.0,10032,264,Unknown,,16865242,2382,11929,787156
zip code 10033,,264,,zip code 10033,2012,Number,57073.0,10033,264,Unknown,,16865242,2382,11929,787156
zip code 10034,,264,,zip code 10034,2012,Number,41200.0,10034,264,Unknown,,16865242,2382,11929,787156
zip code 10035,,264,,zip code 10035,2012,Number,34709.0,10035,264,Unknown,,16865242,2382,11929,787156
zip code 10036,,264,,zip code 10036,2012,Number,22413.0,10036,264,Unknown,,16865242,2382,11929,787156
zip code 10037,,264,,zip code 10037,2012,Number,17099.0,10037,264,Unknown,,16865242,2382,11929,787156
zip code 10038,,264,,zip code 10038,2012,Number,20042.0,10038,264,Unknown,,16865242,2382,11929,787156
zip code 10039,,264,,zip code 10039,2012,Number,25372.0,10039,264,Unknown,,16865242,2382,11929,787156
zip code 10040,,264,,zip code 10040,2012,Number,43650.0,10040,264,Unknown,,16865242,2382,11929,787156
zip code 10044,,264,,zip code 10044,2012,Number,12311.0,10044,264,Unknown,,16865242,2382,11929,787156
zip code 10065,,264,,zip code 10065,2012,Number,32807.0,10065,264,Unknown,,16865242,2382,11929,787156
zip code 10069,,264,,zip code 10069,2012,Number,5359.0,10069,264,Unknown,,16865242,2382,11929,787156
zip code 10075,,264,,zip code 10075,2012,Number,24148.0,10075,264,Unknown,,16865242,2382,11929,787156
zip code 10128,,264,,zip code 10128,2012,Number,59443.0,10128,264,Unknown,,16865242,2382,11929,787156
zip code 10280,,264,,zip code 10280,2012,Number,7610.0,10280,264,Unknown,,16865242,2382,11929,787156
zip code 10282,,264,,zip code 10282,2012,Number,5507.0,10282,264,Unknown,,16865242,2382,11929,787156
zip code 10301,,264,,zip code 10301,2012,Number,38851.0,10301,264,Unknown,,16865242,2382,11929,787156
zip code 10302,,264,,zip code 10302,2012,Number,17090.0,10302,264,Unknown,,16865242,2382,11929,787156
zip code 10303,,264,,zip code 10303,2012,Number,24933.0,10303,264,Unknown,,16865242,2382,11929,787156
zip code 10304,,264,,zip code 10304,2012,Number,41845.0,10304,264,Unknown,,16865242,2382,11929,787156
zip code 10305,,264,,zip code 10305,2012,Number,41309.0,10305,264,Unknown,,16865242,2382,11929,787156
zip code 10306,,264,,zip code 10306,2012,Number,55692.0,10306,264,Unknown,,16865242,2382,11929,787156
zip code 10307,,264,,zip code 10307,2012,Number,14418.0,10307,264,Unknown,,16865242,2382,11929,787156
zip code 10308,,264,,zip code 10308,2012,Number,28782.0,10308,264,Unknown,,16865242,2382,11929,787156
zip code 10309,,264,,zip code 10309,2012,Number,31943.0,10309,264,Unknown,,16865242,2382,11929,787156
zip code 10310,,264,,zip code 10310,2012,Number,24454.0,10310,264,Unknown,,16865242,2382,11929,787156
zip code 10312,,264,,zip code 10312,2012,Number,61136.0,10312,264,Unknown,,16865242,2382,11929,787156
zip code 10314,,264,,zip code 10314,2012,Number,87921.0,10314,264,Unknown,,16865242,2382,11929,787156
zip code 10451,,264,,zip code 10451,2012,Number,45931.0,10451,264,Unknown,,16865242,2382,11929,787156
zip code 10452,,264,,zip code 10452,2012,Number,74520.0,10452,264,Unknown,,16865242,2382,11929,787156
zip code 10453,,264,,zip code 10453,2012,Number,79143.0,10453,264,Unknown,,16865242,2382,11929,787156
zip code 10454,,264,,zip code 10454,2012,Number,37850.0,10454,264,Unknown,,16865242,2382,11929,787156
zip code 10455,,264,,zip code 10455,2012,Number,38114.0,10455,264,Unknown,,16865242,2382,11929,787156
zip code 10456,,264,,zip code 10456,2012,Number,87796.0,10456,264,Unknown,,16865242,2382,11929,787156
zip code 10457,,264,,zip code 10457,2012,Number,69411.0,10457,264,Unknown,,16865242,2382,11929,787156
zip code 10458,,264,,zip code 10458,2012,Number,74911.0,10458,264,Unknown,,16865242,2382,11929,787156
zip code 10459,,264,,zip code 10459,2012,Number,47000.0,10459,264,Unknown,,16865242,2382,11929,787156
zip code 10460,,264,,zip code 10460,2012,Number,56011.0,10460,264,Unknown,,16865242,2382,11929,787156
zip code 10461,,264,,zip code 10461,2012,Number,51599.0,10461,264,Unknown,,16865242,2382,11929,787156
zip code 10462,,264,,zip code 10462,2012,Number,75709.0,10462,264,Unknown,,16865242,2382,11929,787156
zip code 10463,,264,,zip code 10463,2012,Number,69371.0,10463,264,Unknown,,16865242,2382,11929,787156
zip code 10464,,264,,zip code 10464,2012,Number,3974.0,10464,264,Unknown,,16865242,2382,11929,787156
zip code 10465,,264,,zip code 10465,2012,Number,43897.0,10465,264,Unknown,,16865242,2382,11929,787156
zip code 10466,,264,,zip code 10466,2012,Number,71631.0,10466,264,Unknown,,16865242,2382,11929,787156
zip code 10467,,264,,zip code 10467,2012,Number,96319.0,10467,264,Unknown,,16865242,2382,11929,787156
zip code 10468,,264,,zip code 10468,2012,Number,73205.0,10468,264,Unknown,,16865242,2382,11929,787156
zip code 10469,,264,,zip code 10469,2012,Number,71580.0,10469,264,Unknown,,16865242,2382,11929,787156
zip code 10470,,264,,zip code 10470,2012,Number,15647.0,10470,264,Unknown,,16865242,2382,11929,787156
zip code 10471,,264,,zip code 10471,2012,Number,21792.0,10471,264,Unknown,,16865242,2382,11929,787156
