Location,matched_trip_zone,PULocationID,match_score,Location,TimeFrame,DataFormat,Data,Fips,PULocationID,Borough,Zone,fhv_trips,fhvhv_trips,green_trips,yellow_trips
queens,long island city/queens plaza,146,90.0,queens,2006,Number,2255175.0,36081,146,Queens,long island city/queens plaza,61943,602956,28213,75691
staten island,governor's island/ellis island/liberty island,105,86.0,staten island,2006,Number,477377.0,36085,105,Manhattan,governor's island/ellis island/liberty island,23,65,1,118
new york city,east new york/pennsylvania avenue,77,86.0,new york city,2006,Number,8214426.0,3651000,77,Brooklyn,east new york/pennsylvania avenue,54543,594451,10362,4263
battery park/tribeca,battery park,12,90.0,battery park/tribeca,2007,Number,56375.39151,101,12,Manhattan,battery park,4256,39074,22,37004
greenwich village,greenwich village north,113,95.0,greenwich village,2007,Number,83221.60849,102,113,Manhattan,greenwich village north,156572,1727813,250,1278135
lower east side,lower east side,148,100.0,lower east side,2007,Number,172403.0,103,148,Manhattan,lower east side,248540,2718879,191,1034964
chelsea/clinton,west chelsea/hudson yards,246,86.0,chelsea/clinton,2007,Number,88750.39314,104,246,Manhattan,west chelsea/hudson yards,243906,2552153,160,1384492
midtown business district,garment district,100,86.0,midtown business district,2007,Number,44418.60686,105,100,Manhattan,garment district,176155,1535202,298,1727069
murray hill/stuyvesant,murray hill,170,90.0,murray hill/stuyvesant,2007,Number,144403.0,106,170,Manhattan,murray hill,261846,2596247,946,2607781
upper west side,upper west side north,238,95.0,upper west side,2007,Number,214490.0,107,238,Manhattan,upper west side north,169896,1552500,868,1665383
upper east side,upper east side north,236,95.0,upper east side,2007,Number,218253.0,108,236,Manhattan,upper east side north,203313,1955678,13392,3293443
manhattanville,manhattanville,152,100.0,manhattanville,2007,Number,130456.0,109,152,Manhattan,manhattanville,57572,557132,45774,83986
central harlem,central harlem,41,100.0,central harlem,2007,Number,124883.0,110,41,Manhattan,central harlem,148752,1585162,341774,322815
east harlem,east harlem north,74,90.0,east harlem,2007,Number,121457.0,111,74,Manhattan,east harlem north,165358,1694788,468595,328911
washington heights,washington heights north,243,95.0,washington heights,2007,Number,221756.0,112,243,Manhattan,washington heights north,117614,1286964,32739,16243
mott haven,mott haven/port morris,168,90.0,mott haven,2007,Number,95904.34664,201,168,Bronx,mott haven/port morris,128468,1184906,23668,20186
hunts point,hunts point,126,100.0,hunts point,2007,Number,54762.65336,202,126,Bronx,hunts point,54238,608626,7476,2454
morrisania,morrisania/melrose,167,90.0,morrisania,2007,Number,75598.01557,203,167,Bronx,morrisania/melrose,89706,802828,12192,4256
concourse/highbridge,highbridge,119,90.0,concourse/highbridge,2007,Number,139445.0,204,119,Bronx,highbridge,83119,808319,12303,5157
university heights,university heights/morris heights,235,90.0,university heights,2007,Number,129263.0,205,235,Bronx,university heights/morris heights,105557,1064266,15893,6377
east tremont,east tremont,78,100.0,east tremont,2007,Number,78920.98443,206,78,Bronx,east tremont,94899,884432,12885,4295
bedford park,bedford park,18,100.0,bedford park,2007,Number,121634.0,207,18,Bronx,bedford park,100294,1024049,12673,3318
riverdale,riverdale/north riverdale/fieldston,200,90.0,riverdale,2007,Number,113170.0,208,200,Bronx,riverdale/north riverdale/fieldston,36980,391415,6126,2838
unionport/soundview,westchester village/unionport,250,86.0,unionport/soundview,2007,Number,166492.0,209,250,Bronx,westchester village/unionport,45609,484119,10913,3750
throgs neck,,264,,throgs neck,2007,Number,123302.0,210,264,Unknown,,16865242,2382,11929,787156
pelham parkway,pelham parkway,185,100.0,pelham parkway,2007,Number,126978.0,211,185,Bronx,pelham parkway,65054,619082,10120,2753
williamsbridge,williamsbridge/olinville,254,90.0,williamsbridge,2007,Number,148189.0,212,254,Bronx,williamsbridge/olinville,95198,920037,16772,5804
williamsburg/greenpoint,greenpoint,112,90.0,williamsburg/greenpoint,2007,Number,146456.0,301,112,Brooklyn,greenpoint,168721,2001180,32694,24855
fort greene/brooklyn hts,fort greene,97,90.0,fort greene/brooklyn hts,2007,Number,116753.0,302,97,Brooklyn,fort greene,152662,1653143,168486,68402
bedford stuyvesant,bedford,17,90.0,bedford stuyvesant,2007,Number,125699.0,303,17,Brooklyn,bedford,187134,2071716,41662,16853
bushwick,bushwick north,36,90.0,bushwick,2007,Number,129980.0,304,36,Brooklyn,bushwick north,200579,1950479,15110,7955
east new york,east new york,76,100.0,east new york,2007,Number,158711.0,305,76,Brooklyn,east new york,178985,2093773,41656,19623
park slope,park slope,181,100.0,park slope,2007,Number,108989.0,306,181,Brooklyn,park slope,235912,2407999,117060,68533
sunset park,sunset park east,227,95.0,sunset park,2007,Number,146760.0,307,227,Brooklyn,sunset park east,58310,497088,6776,3211
crown heights north,crown heights north,61,100.0,crown heights north,2007,Number,129870.0,308,61,Brooklyn,crown heights north,321523,3357869,66409,25251
crown heights south,crown heights south,62,100.0,crown heights south,2007,Number,112052.0,309,62,Brooklyn,crown heights south,85765,887772,17999,7912
bay ridge,bay ridge,14,100.0,bay ridge,2007,Number,126730.0,310,14,Brooklyn,bay ridge,106173,1176998,20438,9025
bensonhurst,bensonhurst east,21,95.0,bensonhurst,2007,Number,184258.0,311,21,Brooklyn,bensonhurst east,57899,555697,8927,3691
borough park,borough park,26,100.0,borough park,2007,Number,176198.0,312,26,Brooklyn,borough park,102890,1065609,15046,7173
coney island,coney island,55,100.0,coney island,2007,Number,108484.0,313,55,Brooklyn,coney island,47213,440761,26044,4074
flatbush/midwood,midwood,165,90.0,flatbush/midwood,2007,Number,160783.0,314,165,Brooklyn,midwood,69800,668288,14738,6510
sheepshead bay,sheepshead bay,210,100.0,sheepshead bay,2007,Number,137489.0,315,210,Brooklyn,sheepshead bay,67583,682463,30733,5291
brownsville,brownsville,35,100.0,brownsville,2007,Number,120802.0,316,35,Brooklyn,brownsville,114400,1281724,26012,10946
east flatbush,east flatbush/farragut,71,90.0,east flatbush,2007,Number,135649.0,317,71,Brooklyn,east flatbush/farragut,86477,922965,18237,7665
canarsie,canarsie,39,100.0,canarsie,2007,Number,202387.0,318,39,Brooklyn,canarsie,146173,1610372,26058,11762
astoria,astoria,7,100.0,astoria,2007,Number,175303.0,401,7,Queens,astoria,268194,2284990,250356,119932
sunnyside/woodside,sunnyside,226,90.0,sunnyside/woodside,2007,Number,139138.0,402,226,Queens,sunnyside,134177,1345587,44931,124512
jackson heights,jackson heights,129,100.0,jackson heights,2007,Number,182141.0,403,129,Queens,jackson heights,239990,1727841,157669,43858
elmhurst/corona,corona,56,90.0,elmhurst/corona,2007,Number,140182.0,404,56,Queens,corona,134033,620094,16006,8559
elmhurst/corona,corona,57,90.0,elmhurst/corona,2007,Number,140182.0,404,57,Queens,corona,5922,49978,909,293
ridgewood/glendale,glendale,102,90.0,ridgewood/glendale,2007,Number,187195.0,405,102,Queens,glendale,67370,513503,4750,2440
rego park/forest hills,forest hills,95,90.0,rego park/forest hills,2007,Number,117931.0,406,95,Queens,forest hills,129031,1329599,182178,16698
flushing,flushing,92,100.0,flushing,2007,Number,234382.0,407,92,Queens,flushing,201025,1103231,50896,6883
fresh meadows/briarwood,fresh meadows,98,90.0,fresh meadows/briarwood,2007,Number,151246.0,408,98,Queens,fresh meadows,20766,210524,2526,1922
woodhaven,woodhaven,258,100.0,woodhaven,2007,Number,146114.0,409,258,Queens,woodhaven,54602,628227,5858,3628
